variant,block,order,mode,threads,multipv,position,elapsed_ns,stop_lag_ns,nodes,depth,score,bestmove,callbacks,max_pv,last_pv,engine_time_ms
fixed,3,1,stop,1,1,complex-middle,252556554,2270365,161901,9,cp -426,B*6h,10,17,17,252
fixed,3,1,stop,1,1,movegen-heavy,252917403,2343883,157073,11,cp -1582,G*3c,12,10,7,252
fixed,3,1,stop,1,1,selfplay-88,252844045,2557155,139814,14,cp 3573,2h2g,15,11,7,252
fixed,3,1,stop,1,8,complex-middle,252363520,2075988,185945,8,cp -127,B*6h,65,11,8,252
fixed,3,1,stop,1,8,movegen-heavy,252650060,2391523,190002,8,cp -1183,S*2h,65,8,8,252
fixed,3,1,stop,1,8,selfplay-88,252599515,2313726,153194,10,cp 2995,2h2g,81,12,11,252
fixed,3,2,stop,1,1,complex-middle,252356988,1952947,161731,9,cp -426,B*6h,10,17,17,252
fixed,3,2,stop,1,1,movegen-heavy,252355927,1785031,156755,11,cp -1582,G*3c,12,10,7,252
fixed,3,2,stop,1,1,selfplay-88,252954162,2681618,140926,14,cp 3573,2h2g,15,11,7,252
fixed,3,2,stop,1,8,complex-middle,252522369,2299329,188467,8,cp -127,B*6h,65,11,8,252
fixed,3,2,stop,1,8,movegen-heavy,252839095,2568726,188952,8,cp -1183,S*2h,65,8,8,252
fixed,3,2,stop,1,8,selfplay-88,252462527,2189753,154710,10,cp 2995,2h2g,81,12,11,252
baseline,3,3,stop,1,1,complex-middle,252654689,2379770,160465,9,cp -426,B*6h,10,18,18,252
